name,slug,value,date_of_information,ranking,region
"Niger","niger","6.91","2021 est.","1","Africa"
"Angola","angola","5.90","2021 est.","2","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","5.70","2021 est.","3","Africa"
"Mali","mali","5.63","2021 est.","4","Africa"
"Chad","chad","5.57","2021 est.","5","Africa"
"Benin","benin","5.47","2021 est.","6","Africa"
"Uganda","uganda","5.45","2021 est.","7","Africa"
"South Sudan","south-sudan","5.43","2021 est.","8","Africa"
"Somalia","somalia","5.41","2021 est.","9","Africa"
"Burundi","burundi","5.10","2021 est.","10","Africa"
"Mozambique","mozambique","4.89","2021 est.","11","Africa"
"Guinea","guinea","4.89","2021 est.","12","Africa"
"Liberia","liberia","4.84","2021 est.","13","Africa"
"Afghanistan","afghanistan","4.72","2021 est.","14","South Asia"
"Guinea-Bissau","guinea-bissau","4.72","2021 est.","15","Africa"
"Nigeria","nigeria","4.67","2021 est.","16","Africa"
"Sudan","sudan","4.66","2021 est.","17","Africa"
"Zambia","zambia","4.63","2021 est.","18","Africa"
"Cameroon","cameroon","4.61","2021 est.","19","Africa"
"Sierra Leone","sierra-leone","4.58","2021 est.","20","Africa"
"Tanzania","tanzania","4.45","2021 est.","21","Africa"
"Congo, Republic of the","congo-republic-of-the","4.41","2021 est.","22","Africa"
"Burkina Faso","burkina-faso","4.39","2021 est.","23","Africa"
"Timor-Leste","timor-leste","4.32","2021 est.","24","East Asia/Southeast Asia"
"Togo","togo","4.28","2021 est.","25","Africa"
"Central African Republic","central-african-republic","4.09","2021 est.","26","Africa"
"Ethiopia","ethiopia","4.07","2021 est.","27","Africa"
"Equatorial Guinea","equatorial-guinea","4.02","2021 est.","28","Africa"
"Senegal","senegal","3.97","2021 est.","29","Africa"
"Zimbabwe","zimbabwe","3.91","2021 est.","30","Africa"
"Ghana","ghana","3.71","2021 est.","31","Africa"
"Madagascar","madagascar","3.70","2021 est.","32","Africa"
"Sao Tome and Principe","sao-tome-and-principe","3.69","2021 est.","33","Africa"
"Eritrea","eritrea","3.65","2021 est.","34","Africa"
"Cote d'Ivoire","cote-divoire","3.60","2021 est.","35","Africa"
"Mauritania","mauritania","3.59","2021 est.","36","Africa"
"Gaza Strip","gaza-strip","3.54","2021 est.","37","Middle East"
"Pakistan","pakistan","3.53","2021 est.","38","South Asia"
"Malawi","malawi","3.51","2021 est.","39","Africa"
"Rwanda","rwanda","3.42","2021 est.","40","Africa"
"Kenya","kenya","3.36","2021 est.","41","Africa"
"Gabon","gabon","3.36","2021 est.","42","Africa"
"Iraq","iraq","3.32","2021 est.","43","Middle East"
"Egypt","egypt","3.23","2021 est.","44","Africa"
"Gambia, The","gambia-the","3.13","2021 est.","45","Africa"
"Libya","libya","3.13","2021 est.","46","Africa"
"Yemen","yemen","3.10","2021 est.","47","Middle East"
"Namibia","namibia","3.03","2021 est.","48","Africa"
"West Bank","west-bank","3.02","2021 est.","49","Middle East"
"Jordan","jordan","3.00","2021 est.","50","Middle East"
"Lesotho","lesotho","2.95","2021 est.","51","Africa"
"Solomon Islands","solomon-islands","2.92","2021 est.","52","Australia - Oceania"
"Philippines","philippines","2.89","2021 est.","53","East Asia/Southeast Asia"
"Comoros","comoros","2.86","2021 est.","54","Africa"
"Tuvalu","tuvalu","2.86","2021 est.","55","Australia - Oceania"
"Syria","syria","2.85","2021 est.","56","Middle East"
"Tonga","tonga","2.81","2021 est.","57","Australia - Oceania"
"Guam","guam","2.81","2021 est.","58","Australia - Oceania"
"Marshall Islands","marshall-islands","2.81","2021 est.","59","Australia - Oceania"
"Papua New Guinea","papua-new-guinea","2.79","2021 est.","60","East Asia/Southeast Asia"
"Oman","oman","2.73","2021 est.","61","Middle East"
"Vanuatu","vanuatu","2.72","2021 est.","62","Australia - Oceania"
"Guatemala","guatemala","2.67","2021 est.","63","Central America"
"Belize","belize","2.66","2021 est.","64","Central America"
"Northern Mariana Islands","northern-mariana-islands","2.66","2021 est.","65","Australia - Oceania"
"Nauru","nauru","2.65","2021 est.","66","Australia - Oceania"
"Israel","israel","2.57","2021 est.","67","Middle East"
"Laos","laos","2.57","2021 est.","68","East Asia/Southeast Asia"
"Algeria","algeria","2.55","2021 est.","69","Africa"
"Kyrgyzstan","kyrgyzstan","2.52","2021 est.","70","Central Asia"
"Eswatini","eswatini","2.48","2021 est.","71","Africa"
"Tajikistan","tajikistan","2.48","2021 est.","72","Central Asia"
"Haiti","haiti","2.48","2021 est.","73","Central America"
"Samoa","samoa","2.46","2021 est.","74","Australia - Oceania"
"Bolivia","bolivia","2.45","2021 est.","75","South America"
"Botswana","botswana","2.42","2021 est.","76","Africa"
"Cambodia","cambodia","2.36","2021 est.","77","East Asia/Southeast Asia"
"Faroe Islands","faroe-islands","2.30","2021 est.","78","Europe"
"Morocco","morocco","2.29","2021 est.","79","Africa"
"Fiji","fiji","2.28","2021 est.","80","Australia - Oceania"
"India","india","2.28","2021 est.","81","South Asia"
"American Samoa","american-samoa","2.28","2021 est.","82","Australia - Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","2.27","2021 est.","83","Australia - Oceania"
"Kuwait","kuwait","2.25","2021 est.","84","Middle East"
"Venezuela","venezuela","2.24","2021 est.","85","South America"
"Dominican Republic","dominican-republic","2.23","2021 est.","86","Central America"
"Kiribati","kiribati","2.23","2021 est.","87","Australia - Oceania"
"Panama","panama","2.21","2021 est.","88","Central America"
"South Africa","south-africa","2.20","2021 est.","89","Africa"
"Argentina","argentina","2.20","2021 est.","90","South America"
"Mexico","mexico","2.17","2021 est.","91","North America"
"Djibouti","djibouti","2.17","2021 est.","92","Africa"
"Cabo Verde","cabo-verde","2.14","2021 est.","93","Africa"
"Colombia","colombia","2.14","2021 est.","94","South America"
"Kazakhstan","kazakhstan","2.13","2021 est.","95","Central Asia"
"Bangladesh","bangladesh","2.10","2021 est.","96","South Asia"
"Cook Islands","cook-islands","2.09","2021 est.","97","Australia - Oceania"
"El Salvador","el-salvador","2.07","2021 est.","98","Central America"
"Guyana","guyana","2.07","2021 est.","99","South America"
"Ecuador","ecuador","2.07","2021 est.","100","South America"
"Vietnam","vietnam","2.06","2021 est.","101","East Asia/Southeast Asia"
"Jamaica","jamaica","2.06","2021 est.","102","Central America"
"Honduras","honduras","2.05","2021 est.","103","Central America"
"Burma","burma","2.05","2021 est.","104","East Asia/Southeast Asia"
"France","france","2.04","2021 est.","105","Europe"
"Indonesia","indonesia","2.04","2021 est.","106","East Asia/Southeast Asia"
"Turkmenistan","turkmenistan","2.04","2021 est.","107","Central Asia"
"Tunisia","tunisia","2.03","2021 est.","108","Africa"
"Peru","peru","2.02","2021 est.","109","South America"
"Dominica","dominica","2.02","2021 est.","110","Central America"
"Virgin Islands","virgin-islands","2.01","2021 est.","111","Central America"
"Sint Maarten","sint-maarten","2.00","2021 est.","112","Central America"
"Sri Lanka","sri-lanka","2.00","2021 est.","113","South Asia"
"Curacao","curacao","1.99","2021 est.","114","Central America"
"Bahamas, The","bahamas-the","1.98","2021 est.","115","Central America"
"Iceland","iceland","1.96","2021 est.","116","Europe"
"Antigua and Barbuda","antigua-and-barbuda","1.96","2021 est.","117","Central America"
"Saudi Arabia","saudi-arabia","1.95","2021 est.","118","Middle East"
"Grenada","grenada","1.95","2021 est.","119","Central America"
"Turkey","turkey","1.94","2021 est.","120","Middle East"
"Iran","iran","1.93","2021 est.","121","Middle East"
"Nepal","nepal","1.93","2021 est.","122","South Asia"
"Mongolia","mongolia","1.93","2021 est.","123","East Asia/Southeast Asia"
"Ireland","ireland","1.93","2021 est.","124","Europe"
"Kosovo","kosovo","1.92","2021 est.","125","Europe"
"Greenland","greenland","1.92","2021 est.","126","North America"
"Gibraltar","gibraltar","1.91","2021 est.","127","Europe"
"Korea, North","korea-north","1.91","2021 est.","128","East Asia/Southeast Asia"
"Bermuda","bermuda","1.91","2021 est.","129","North America"
"Qatar","qatar","1.90","2021 est.","130","Middle East"
"Isle of Man","isle-of-man","1.90","2021 est.","131","Europe"
"Paraguay","paraguay","1.89","2021 est.","132","South America"
"Azerbaijan","azerbaijan","1.87","2021 est.","133","Middle East"
"Costa Rica","costa-rica","1.87","2021 est.","134","Central America"
